biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. Norma Acordinaro,Lujan De Cuyo,4419,Ruta 15 Km 28  ,Agrelo,Mendoza,-33.12627711861327,-68.88923617704562
Bib.Pop. Lucila Barrionuevo de Bombal,Maipu,3613,Ruta Provincial 50 4800 ,Rodeo del medio,Mendoza,-32.989275,-68.688260
Bib. Pop. General Gutiérrez,Maipu,4271,Carril Gómez 35 ,General Gutiérrez,Mendoza,-32.956271,-68.788207
Bib.Pop. Mariano Moreno,San Carlos,3233,San Martín y Cisterna  ,Chilecito,Mendoza,-33.8909,-69.071183
Bib.Pop. Profesor Dionisio Chaca,San Carlos,3271,Belgrano 56 ,Eugenio Bustos,Mendoza,-33.78155,-69.064983
Bib. Pop. Joaquín di Genaro,San Carlos,3190,Pedro Castro s/n  Delegación Municipal,Pareditas,Mendoza,-33.941217,-69.077833
Bib.Pop. Dr. Faustino B. Gil,San Carlos,3228,San Martín 440 ,La Consulta,Mendoza,-33.7344,-69.121033
Bib.Pop. Maestro Pedro Azín de San Carlos,San Carlos,4246,Independencia 107 ,Villa de SAn Carlos,Mendoza,-33.773846,-69.041794
Bib. Pop. Ricardo Rojas,San Martin,4173,Pirovano 100 ,General San Martín,Mendoza,-33.079979,-68.46946
Bib.Pop. Julio A. Roca,San Martin,0689,Garibaldi 22/28  ,Palmira,Mendoza,-33.050083,-68.561533
Bib. Pop. Esperanza de nuestros lectores,San Rafael,4102,Ejército de las Andes y Arancibia  ,Rama Caida,Mendoza,-34.701383,-68.368733
Bib.Pop. Maestro Antonio Isaac Quiroga,San Rafael,4100,Ruta Provincial 160  ,San Rafael,Mendoza,-34.674317,-68.225467
Bib.Pop. Dolina Salas,San Rafael,3329,Santa María de Oro y Lavalle  ,Cuadro Nacional,Mendoza,-34.617,-68.275717
Bib.Pop. Salto de las Rosas,San Rafael,3282,Sarmiento  Cañada Seca,Salto de las Rocas,Mendoza,-34.721317,-68.22645
Bib.Pop. Fray F. Inalican,San Rafael,3306,Los Andes 455 ,Villa Veinticinco de Mayo,Mendoza,-34.584942,-68.554062
Bib.Pop. Derly R. Calderón,San Rafael,3212,Tirasso 300 ,San Rafael,Mendoza,-34.6173,-68.315733
Bib.Pop. Cultura,San Rafael,1576,Córdoba s/n  ,Real del Padre,Mendoza,-34.841217,-67.76725
Bib.Pop. Francisco Peñasco,San Rafael,1276,Av.Bartolomé Mitre 1233  ,Diamante,Mendoza,-34.621892,-68.312454
Bib.Pop. Mariano Moreno,San Rafael,0676,B. de Irigoyen 148 ,San Rafael,Mendoza,-34.615,-68.327833
