gid,fna,lat,long
3557,Cementerio de Puerto Tirol,-27.368329151999944,-59.09408811299994
3558,Cementerio de San Ignacio,-27.27201584599993,-55.525731389999976
3559,Cementerio de Basail,-27.89262842499994,-59.27369171999993
3560,Cementerio de Colonia Baranda,-27.559317585999963,-59.31379705499995
3561,Cementerio Municipal de Azul,-36.772514383999976,-59.84900055099996
3562,Cementerio de Río Cuarto,-33.11985017799998,-64.37338481899997
3563,Cementerio La Piedad,-27.51654929999995,-55.11757499299995
3564,Cementerio de Laguna Blanca,-27.25702456399995,-59.22068311899994
3565,Cementerio de Colonia Popular,-27.271517304999975,-59.16543598499993
3566,Cementerio de Saujil,-27.559519697999974,-67.62075581799996
3567,Cementerio de Colonia Benítez,-27.32975150599998,-58.96331657899998
3568,Cementerio Municipal de Rosales,-38.866689719999954,-62.085113913999976
3569,Cementerio de El Bolsón,-27.904556027999945,-65.88281575599996
3570,Cementerio Municipal de Gobernador Costa,-44.056999719999965,-70.59917801199998
3571,Cementerio Municipal de José de San Martín,-44.04563977699996,-70.46120769799995
3577,Cementerio Municipal de Roque Pérez,-35.40584212799996,-59.351312993999954
3578,Cementerio del Oeste,-27.013822949999962,-59.86272544999997
3579,Cementerio de Río Gallegos,-51.635456921999946,-69.22157186399994
3580,Cementerio Municipal de Pigüé,-37.59903039499994,-62.39532778599994
3581,Cementerio Municipal Darregueira,-37.69194824599998,-63.18644672199997
3582,Cementerio de Bordenave,-37.80267052999994,-63.06462417499995
3583,Cementerio Municipal de Guatraché,-37.678084472999956,-63.513102221999986
3584,Cementerio de Puán,-37.55010389299997,-62.74236851799998
3585,Cementerio de Colonias Unidas,-26.69921801499993,-59.63931944299998
3586,Cementerio de Rivera,-37.13393146499993,-63.22612263999997
3587,Cementerio de San Pedro,-28.751607099999944,-66.12029254999999
3588,Cementerio Municipal de Comandante Luis Piedra Buena,-49.97368373399996,-68.92007908399995
3589,Cementerio Municipal de Coronel Suárez,-37.44847775499994,-61.96471064299993
3590,Cementerio de Santa Trinidad,-37.489780638999946,-61.919158264999965
3591,Cementerio de San José,-37.505486549999944,-61.91546134399994
3592,Cementerio de Pampa Almirón,-26.690949269999976,-59.13639865599998
3593,Cementerio de Santa María,-37.55472602699996,-61.87582251099997
3594,Cementerio de General José de San Martín,-26.56158616099998,-59.32123285999995
3595,Cementerio Municipal de Daireaux,-36.60963314999998,-61.748947649999934
3596,Cementerio Municipal de Coronel Pringles,-37.97542427099995,-61.32874892299998
3597,Cementerio Municipal de Huanguelén,-37.08601434199994,-61.94408231099993
3598,Cementerio de Pampa del Indio,-26.013499252999964,-59.922656195999934
3599,Cementerio de Lavalle,-28.19842343199997,-65.08800703499998
3600,Cementerio Municipal de Bolívar,-36.25029517499996,-61.135670232999985
3601,Cementerio de Isla del Cerrito,-27.296215116999974,-58.62771461199998
3602,Cementerio de La Leonesa,-27.02722646099994,-58.714118119999966
3603,Cementerio de Santa Sylvina,-27.84443801699996,-61.13389877999998
3604,Cementerio de General Pinedo,-27.30796176399997,-61.27005596899994
3605,Cementerio de Charata,-27.229974741999968,-61.17850042599997
3606,Cementerio de San Bernardo,-27.28173633399996,-60.70808708499993
3607,Cementerio Municipal de Trelew,-43.24286505099997,-65.29686241799993
3608,Cementerio de Presidencia Roque Sáenz Peña,-26.761383681999973,-60.430443398999955
3609,Cementerio de Tandil,-37.33131892899996,-59.106089693999934
3610,Cementerio de Quitilipi,-26.881767599999932,-60.239155349999976
3611,Cementerio Municipal de Olavarría,-36.89277016899996,-60.338585422999984
3612,Cementerio de Tapso,-28.397660926999947,-65.09268314599996
3613,Cementerio de Corzuela,-26.94654223499998,-60.993119674999946
3614,Cementerio de Avia Terai,-26.678582036999956,-60.72587029599998
3615,Cementerio de Napenay,-26.728992653999967,-60.62393267999994
3616,Cementerio de Pampa del Infierno,-26.51602871299997,-61.155130965999945
3617,Cementerio de Puerto Esperanza,-26.013587022999957,-54.62893655899995
3618,Cementerio de Los Frentones,-26.415588207999974,-61.39593661899994
3619,Cementerio de Taco Pozo,-25.61889367499998,-63.27913320499994
3620,Cementerio de San Antonio,-28.942592788999946,-65.09570387499997
3621,Cementerio de Santa Catalina,-30.886966549999954,-64.23794754999994
3622,Cementerio de Chañar,-30.538385330999972,-65.98268113299997
3623,Cementerio de Serrezuela,-30.635998262999976,-65.39582356899996
3624,Cementerio Municipal de Puerto Rico,-26.80541151999995,-55.028204750999976
3625,Cementerio Parque Jardín del Cielo,-43.21137069699995,-65.29671472099994
3626,Cementerio de Laguna Larga,-31.784897765999972,-63.80393523299995
3627,Cementerio de James Craik,-32.175314199999946,-63.48738009999994
3628,Cementerio de Laguna Alsina,-36.81894059999996,-62.24691034999995
3629,Cementerio La Piedad,-32.63052535799994,-62.72231397699994
3630,Cementerio de Villalonga,-39.921348087999945,-62.62844810099995
3631,Cementerio de Puerto Piray,-26.47815475899995,-54.709311216999936
3632,Cementerio Municipal de Gaiman,-43.28466587499997,-65.48239736199997
3633,Cementerio Parque,-29.144697967999946,-67.53463435499998
3634,Cementerio Municipal de 25 de Mayo,-35.45232514999998,-60.174077170999965
3635,Cementerio de San Cristóbal,-30.319631412999968,-61.24780037599999
3636,Cementerio Municipal de Concepción del Uruguay,-32.48858718199995,-58.253649923999944
3637,Cementerio de Libertador General San Martín,-32.40934936199994,-65.67053755899997
3638,Cementerio de San Pedro Norte,-30.085005120999938,-64.15513970999996
3639,Cementerio de San Juan Bautista,-27.487125272999947,-58.85350485299995
3640,Cementerio de Villa Iris,-38.18545738699993,-63.23755504799993
3641,Cementerio Municipal de Mendoza,-32.85714161499993,-68.83559024699997
3642,Cementerio Municipal de Cacharí,-36.39984702399994,-59.48978235199996
3643,Cementerio Parque Jardín Mendoza,-32.98952911599997,-68.84219582099996
3644,Cementerio Municipal de Laprida,-37.563581573999954,-60.831988862999935
3645,Cementerio Corpus Christi,-28.515001051999946,-59.051183984999966
3646,Cementerio de Patquía,-30.050517199999945,-66.87467954999994
3647,Cementerio Parque de Paz,-37.44196847899997,-61.95521450399997
3648,Cementerio Municipal de Benito Juárez,-37.64024279999995,-59.844906149999986
3649,Cementerio Municipal de Balcarce,-37.873108601999945,-58.248251133999986
3650,Cementerio de Reconquista,-29.142543299999943,-59.65856654999993
3651,Cementerio Municipal de Comandante Nicanor Otamendi,-38.12805260099998,-57.858190235999984
3652,Cementerio Municipal de Lobería,-38.18958309899995,-58.79094128299994
3653,Cementerio Municipal de Necochea,-38.55261219899995,-58.77112108099993
3654,Cementerio de Villa del Dique,-32.17139993699993,-64.46811479499996
3655,Cementerio Parque Municipal de Berazategui,-34.79071597999996,-58.18435099199996
3656,Cementerio Parque Municipal,-34.88378835499998,-57.88091984799996
3657,Cementerio de Jacinto Aráuz,-38.08419297499995,-63.41525767699994
3658,Cementerio de Villa Angélica,-33.66714072399998,-60.69889932299998
3659,Cementerio de Villa Clara,-31.831989737999947,-58.83125846799999
3660,Cementerio Jesús Redentor,-34.13367234599997,-63.40076276899998
3661,Cementerio de Marcelino Escalada,-30.581534171999976,-60.47684488899995
3662,Cementerio de Tostado,-29.227773320999972,-61.80026026499996
3663,Cementerio de Guatimozín,-33.458304649999945,-62.460183049999955
3664,Cementerio Municipal de Puerto Madryn,-42.75098377699993,-65.04069524099998
3665,Cementerio de la Santa Cruz,-24.797832133999975,-65.39367705799998
3666,Cementerio Los Ángeles,-31.098762870999963,-64.51202220099998
3667,Cementerio de Tornquist,-38.09005297099998,-62.21823151999996
3668,Cementerio Municipal de Casbas,-36.77402884999998,-62.509624249999945
3669,Cementerio de Hinojo,-36.87862934999998,-60.14281394999995
3670,Cementerio de San Lorenzo,-28.12298123399995,-58.778991176999966
3671,Cementerio de El Trébol,-32.21382549799995,-61.69305229999998
3672,Cementerio de Bouquet,-32.42204609799995,-61.86647120799995
3673,Cementerio de General Rodríguez,-34.607061655999985,-58.96602028399997
3674,Cementerio Municipal de San Antonio Oeste,-40.73583297599998,-64.96220170099997
3675,Cementerio de Pedro Luro,-39.522621749999985,-62.666830699999934
3676,Cementerio Municipal de Viedma,-40.81859556699993,-63.00609604999994
3677,Cementerio de Santa Mónica,-34.71397135799998,-58.71036573699996
